,OTU_1,OTU_2,OTU_3,OTU_4,OTU_5,OTU_6,OTU_7,OTU_8,OTU_9,OTU_10,OTU_11,OTU_12,OTU_13,OTU_14,OTU_15,OTU_16,OTU_17,OTU_18,OTU_19,OTU_20,OTU_21,OTU_22,OTU_23,OTU_24,OTU_25
Sample_1,48,48,49,54,49,39,52,48,48,50,10,13,12,10,7,6,10,14,10,9,22,13,18,22,23
Sample_2,48,52,51,55,42,54,39,31,45,43,12,12,6,12,6,9,9,10,12,12,21,22,22,17,16
Sample_3,46,53,48,66,44,42,55,60,53,55,14,9,5,8,13,5,10,10,9,12,22,30,22,17,17
Sample_4,44,56,45,49,55,44,47,36,42,45,11,13,9,10,10,13,12,10,6,12,21,25,19,28,18
Sample_5,61,50,46,42,48,60,55,54,33,55,11,8,8,9,15,6,8,14,8,8,20,14,20,14,23
Sample_6,50,66,51,59,40,49,52,62,38,57,11,14,12,10,8,6,10,9,16,8,21,12,18,21,23
Sample_7,60,49,42,53,53,53,45,58,50,54,14,11,10,16,10,9,10,14,10,11,25,17,12,21,21
Sample_8,45,56,54,42,53,48,39,53,49,44,11,11,8,11,13,7,11,10,17,4,23,18,19,28,19
Sample_9,65,46,52,46,45,50,48,51,35,64,9,15,6,10,20,7,5,8,11,12,25,18,12,18,25
Sample_10,53,36,49,59,65,53,52,41,44,50,11,11,8,6,7,6,12,2,8,11,26,20,24,18,16
Sample_11,45,60,57,53,73,49,54,52,48,66,14,5,8,11,12,5,2,3,9,9,21,16,14,10,21
Sample_12,52,57,55,48,59,49,45,46,45,34,10,10,8,7,11,15,10,8,8,9,14,19,20,28,24
Sample_13,57,44,54,41,52,52,44,64,54,36,11,8,10,11,11,3,6,12,14,16,28,10,23,11,27
Sample_14,51,41,64,54,36,52,44,50,46,59,5,11,15,7,10,10,7,12,10,7,27,23,19,17,16
Sample_15,58,48,53,48,54,49,55,48,55,54,9,7,7,7,6,12,9,14,17,10,13,18,19,13,18
Sample_16,10,8,7,7,15,9,7,8,13,7,53,55,55,59,46,58,44,47,58,55,20,14,22,17,15
Sample_17,7,10,3,11,10,8,13,11,8,7,54,39,47,45,50,51,50,58,51,47,14,23,22,26,16
Sample_18,10,9,9,10,4,12,12,13,17,8,49,50,63,37,53,39,31,35,40,57,16,18,14,22,15
Sample_19,14,6,7,10,10,14,10,6,8,8,55,52,49,56,46,49,51,60,49,47,15,23,17,21,11
Sample_20,13,5,7,13,5,9,10,6,14,14,36,39,55,40,47,50,54,48,50,44,25,17,21,17,20
Sample_21,9,9,6,12,14,10,12,12,12,10,51,56,50,43,50,36,49,52,58,51,24,19,15,13,15
Sample_22,5,12,9,11,10,13,13,7,9,8,38,54,58,49,46,57,33,51,51,45,26,24,18,19,18
Sample_23,8,5,14,13,12,6,16,16,10,7,43,52,43,49,57,39,64,61,41,40,18,15,18,8,18
Sample_24,15,6,9,5,12,9,16,10,8,11,46,40,52,48,51,52,46,52,62,42,27,18,16,30,20
Sample_25,14,12,4,10,8,5,4,10,11,11,47,44,43,46,42,48,49,43,48,44,19,22,20,22,12
Sample_26,8,10,12,4,10,13,9,9,11,10,54,50,51,44,48,58,48,48,46,55,16,24,15,15,20
Sample_27,10,10,13,8,11,7,13,12,11,10,44,47,53,49,50,40,51,45,42,48,11,23,23,19,15
Sample_28,7,9,2,10,12,9,8,10,11,13,50,45,46,51,61,47,42,43,35,52,13,14,11,15,22
Sample_29,5,4,10,8,11,12,9,5,9,11,45,39,57,47,47,50,57,51,47,54,29,26,23,14,36
Sample_30,6,8,7,15,11,5,10,11,8,6,44,46,50,46,55,43,37,44,59,45,30,22,14,16,21
